CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 205.968750 1642041479.8684
MEM 182.890625 1642041479.9804
MEM 225.523438 1642041480.0924
MEM 226.800781 1642041480.2025
MEM 196.132812 1642041480.3145
MEM 165.765625 1642041480.4255
MEM 168.542969 1642041480.5365
MEM 179.910156 1642041480.6486
MEM 170.699219 1642041480.7606
MEM 179.503906 1642041480.8726
MEM 191.011719 1642041480.9826
MEM 199.667969 1642041481.0947
MEM 210.652344 1642041481.2067
MEM 211.605469 1642041481.3187
MEM 226.062500 1642041481.4308
MEM 207.730469 1642041481.5428
MEM 195.144531 1642041481.6548
MEM 215.066406 1642041481.7648
MEM 173.101562 1642041481.8769
MEM 163.320312 1642041481.9889
MEM 166.062500 1642041482.0989
MEM 173.488281 1642041482.2109
MEM 180.316406 1642041482.3230
MEM 191.117188 1642041482.4350
MEM 205.027344 1642041482.5470
MEM 210.941406 1642041482.6590
MEM 200.753906 1642041482.7710
MEM 201.886719 1642041482.8831
MEM 211.007812 1642041482.9951
MEM 221.105469 1642041483.1051
MEM 219.957031 1642041483.2171
MEM 182.890625 1642041483.3292
MEM 163.320312 1642041483.4412
MEM 169.460938 1642041483.5532
MEM 179.644531 1642041483.6652
MEM 173.156250 1642041483.7753
MEM 178.597656 1642041483.8873
MEM 188.882812 1642041483.9993
MEM 191.046875 1642041484.1093
MEM 198.304688 1642041484.2214
MEM 209.390625 1642041484.3334
MEM 215.511719 1642041484.4454
MEM 222.753906 1642041484.5574
MEM 227.687500 1642041484.6695
MEM 221.609375 1642041484.7815
MEM 222.933594 1642041484.8915
MEM 229.738281 1642041485.0036
MEM 227.152344 1642041485.1156
MEM 192.402344 1642041485.2276
MEM 163.320312 1642041485.3396
MEM 182.890625 1642041485.4517
MEM 163.320312 1642041485.5637
MEM 165.007812 1642041485.6757
MEM 173.101562 1642041485.7877
MEM 175.546875 1642041485.8998
